ipnr17,v313_dk,v314_dk,v315_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken
CZ569239,Secondary education,350.000<,Female,46.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Korte vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,2,4,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ636769,Secondary education,<150.0000,Male,76.0,Gift eller reg. partnerskab,1 barn,Mellemstore byer,Grundskole og gym.,Erhvervsfaglige uddannelser,Korte vid. udd,Erhvervsfaglige uddannelser,2,3,2.0,Dansk Folkeparti,Nej,ja
CZ503457,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,52.0,Gift eller reg. partnerskab,4 børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,5.0,Det Radikale Venstre,Nej,nej
FU131701,Elementary school or unknown,250.000-350.000,Female,64.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,4,3,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU591576,Medium-cycle tertiary eduation,150.000-250.000,Female,69.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,4.0,Socialistisk Folkeparti,Nej,ja
FU878354,Medium-cycle tertiary eduation,250.000-350.000,Female,72.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,4,4.0,Det Radikale Venstre,Nej,ja
CZ618285,Secondary education,150.000-250.000,Male,70.0,Gift eller reg. partnerskab,4 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,2.0,Dansk Folkeparti,Nej,ja
FU482474,Secondary education,<150.0000,Male,26.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,Mellemlange vid. udd,3,4,2.0,Det Radikale Venstre,Nej,ja
FU157602,Elementary school or unknown,150.000-250.000,Female,73.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,3,4,3.0,Dansk Folkeparti,Ja,nej
CZ844863,Secondary education,250.000-350.000,Female,39.0,Gift eller reg. partnerskab,3 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,5.0,Socialdemokraterne,Nej,ja
CZ536640,Secondary education,<150.0000,Male,49.0,Skilt,3 børn,Mellemstore byer,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2.0,"Venstre, Danmarks Liberale Parti",Ja,nej
FU476062,Secondary education,<150.0000,Female,63.0,Gift eller reg. partnerskab,1 barn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,2,,Socialistisk Folkeparti,Nej,ja
FU580782,Elementary school or unknown,<150.0000,Female,74.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,Ukendt,1.0,Dansk Folkeparti,Ja,ja
FU414667,Elementary school or unknown,150.000-250.000,Female,59.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Uoplyst,2,2,1.0,,Nej,ja
FU392958,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,39.0,Gift eller reg. partnerskab,3 børn,,Lang vid. udd,Grundskole og gym.,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,4,5.0,Socialistisk Folkeparti,Nej,ja
CZ764716,Secondary education,150.000-250.000,Male,33.0,Gift eller reg. partnerskab,1 barn,Større provinsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,2,3,4.0,Socialdemokraterne,Nej,ja
FU416197,Secondary education,150.000-250.000,Male,58.0,Papirløst partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,4,2.0,Dansk Folkeparti,Ja,ja
CZ424759,Secondary education,<150.0000,Male,82.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,3,4,3.0,Socialdemokraterne,Nej,ja
FU656236,Medium-cycle tertiary eduation,<150.0000,Female,73.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,3,1.0,Enhedslisten m.fl.,Nej,nej
FU752441,Secondary education,250.000-350.000,Male,70.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Dansk Folkeparti,Nej,ja
FU627138,Short-cycle tertiary eduation,<150.0000,Female,23.0,Papirløst partnerskab,4 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,77,3.0,Dansk Folkeparti,Nej,ja
FU489948,Secondary education,150.000-250.000,Male,38.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,4,4,3.0,Det Radikale Venstre,Nej,nej
FU344081,Medium-cycle tertiary eduation,150.000-250.000,Female,59.0,Gift eller reg. partnerskab,Ingen børn,,Korte vid. udd,Grundskole og gym.,Uoplyst,Uoplyst,3,2,1.0,Enhedslisten m.fl.,Nej,ja
FU657877,Secondary education,150.000-250.000,Male,45.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Korte vid. udd,2,3,3.0,Socialdemokraterne,Ja,ja
CZ805537,Secondary education,350.000<,Male,64.0,Gift eller reg. partnerskab,4 børn,De 3 store provinsbyer,Lang vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,5.0,Enhedslisten m.fl.,Nej,nej
FU334931,Secondary education,<150.0000,Male,77.0,Gift eller reg. partnerskab,1 barn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Uoplyst,Uoplyst,Ukendt,77,,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ610598,Short-cycle tertiary eduation,250.000-350.000,Female,61.0,Enke/enkemand,1 barn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,Ukendt,77,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU461874,Medium-cycle tertiary eduation,250.000-350.000,Male,35.0,Papirløst partnerskab,4 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Korte vid. udd,4,3,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU657578,Secondary education,250.000-350.000,Male,75.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,4,1.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ605856,Medium-cycle tertiary eduation,150.000-250.000,Female,56.0,Skilt,2 børn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,2,77,2.0,Alternativet,Ja,ja
CZ188474,Secondary education,<150.0000,Female,26.0,Gift eller reg. partnerskab,Ingen børn,Større provinsbyer,Grundskole og gym.,Grundskole og gym.,Korte vid. udd,Erhvervsfaglige uddannelser,4,2,1.0,Socialdemokraterne,Nej,nej
FU317635,Elementary school or unknown,150.000-250.000,Male,52.0,Gift eller reg. partnerskab,Ingen børn,,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,1,1.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU219422,Secondary education,350.000<,Female,60.0,Gift eller reg. partnerskab,Uoplyst,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Korte vid. udd,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU221696,Secondary education,150.000-250.000,Female,53.0,Gift eller reg. partnerskab,4 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Uoplyst,Erhvervsfaglige uddannelser,2,2,2.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU362034,Secondary education,350.000<,Male,35.0,Gift eller reg. partnerskab,2 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ501321,Medium-cycle tertiary eduation,350.000<,Male,56.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,3,4,4.0,Socialdemokraterne,Nej,ja
CZ360747,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,41.0,Gift eller reg. partnerskab,Ingen børn,Større provinsbyer,Uoplyst,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU734544,Secondary education,250.000-350.000,Male,30.0,Enlig,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Lang vid. udd,Erhvervsfaglige uddannelser,2,77,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ618768,Medium-cycle tertiary eduation,150.000-250.000,Male,63.0,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Mellemlange vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,5.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU236551,Medium-cycle tertiary eduation,350.000<,Male,56.0,Gift eller reg. partnerskab,6 børn eller flere,,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,5.0,Nye Borgerlige,Nej,nej
FU764470,Secondary education,350.000<,Male,41.0,Gift eller reg. partnerskab,3 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,4.0,Det Radikale Venstre,Nej,ja
CZ369005,Elementary school or unknown,<150.0000,Female,20.0,Enlig,Ingen børn,Større provinsbyer,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,77,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU562079,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,58.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,5.0,Alternativet,Nej,ja
FU488490,Secondary education,150.000-250.000,Male,73.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,1.0,Socialdemokraterne,Nej,ja
FU229404,Medium-cycle tertiary eduation,150.000-250.000,Female,74.0,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,2.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU876029,Secondary education,350.000<,Male,54.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,3,5.0,Det Radikale Venstre,Ja,ja
CZ151869,Elementary school or unknown,150.000-250.000,Female,70.0,Enke/enkemand,3 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,1.0,Dansk Folkeparti,Ja,ja
CZ582408,Secondary education,250.000-350.000,Male,71.0,Gift eller reg. partnerskab,1 barn,Mindre byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,3,4.0,Socialdemokraterne,Nej,ja
CZ271973,Secondary education,250.000-350.000,Male,43.0,Gift eller reg. partnerskab,1 barn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Korte vid. udd,2,4,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU669423,Short-cycle tertiary eduation,350.000<,Male,46.0,Papirløst partnerskab,2 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,2,5.0,"Venstre, Danmarks Liberale Parti",Ja,nej
CZ200945,Elementary school or unknown,<150.0000,Female,80.0,Enke/enkemand,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,1,77,2.0,Socialistisk Folkeparti,Nej,ja
FU657613,Secondary education,250.000-350.000,Male,55.0,Papirløst partnerskab,6 børn eller flere,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,4,2,4.0,Vil stemme blankt,Ja,ja
FU386607,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,61.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,4,3,5.0,Socialdemokraterne,Ja,ja
CZ535228,Medium-cycle tertiary eduation,150.000-250.000,Female,50.0,Enlig,2 børn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Mellemlange vid. udd,4,77,3.0,,Ja,ja
FU857349,Elementary school or unknown,<150.0000,Female,78.0,Gift eller reg. partnerskab,1 barn,,Uoplyst,Uoplyst,Uoplyst,Uoplyst,Ukendt,Ukendt,,Dansk Folkeparti,Ja,ja
FU821183,Secondary education,350.000<,Female,49.0,Papirløst partnerskab,2 børn,,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
CZ312482,Secondary education,250.000-350.000,Male,67.0,Gift eller reg. partnerskab,1 barn,De 3 store provinsbyer,Erhvervsfaglige uddannelser,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,2,2,3.0,Socialdemokraterne,Ja,ja
CZ850612,Secondary education,350.000<,Male,55.0,Gift eller reg. partnerskab,1 barn,Landområder og landsbyer,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,2,3.0,Socialdemokraterne,Ja,ja
FU328232,Elementary school or unknown,<150.0000,Female,69.0,Gift eller reg. partnerskab,5 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,3.0,Socialdemokraterne,Nej,ja
FU205136,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Female,28.0,Papirløst partnerskab,Ingen børn,,Lang vid. udd,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ558692,"Long-cycle tertiary eduation, Ph.D",<150.0000,Female,30.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ147357,Secondary education,150.000-250.000,Female,55.0,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Korte vid. udd,Lang vid. udd,Grundskole og gym.,Grundskole og gym.,2,2,4.0,"Venstre, Danmarks Liberale Parti",Nej,nej
FU220631,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,53.0,Enlig,Ingen børn,,Lang vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,77,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
FU335308,Elementary school or unknown,<150.0000,Female,72.0,Gift eller reg. partnerskab,3 børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,3,1.0,Socialdemokraterne,Ja,ja
FU546771,Secondary education,150.000-250.000,Male,69.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Korte vid. udd,2,2,2.0,Socialdemokraterne,Nej,ja
CZ830740,Medium-cycle tertiary eduation,150.000-250.000,Male,67.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,1,3.0,Enhedslisten m.fl.,Ja,nej
CZ833038,Medium-cycle tertiary eduation,150.000-250.000,Female,35.0,Skilt,2 børn,De 3 store provinsbyer,Mellemlange vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2.0,Socialistisk Folkeparti,Nej,nej
CZ618510,Secondary education,150.000-250.000,Female,73.0,Enke/enkemand,3 børn,Mellemstore byer,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Mellemlange vid. udd,2,77,1.0,Dansk Folkeparti,Nej,ja
CZ238623,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,33.0,Enlig,Ingen børn,Større provinsbyer,Lang vid. udd,Irrelevant,Mellemlange vid. udd,Grundskole og gym.,4,77,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU836303,Secondary education,<150.0000,Female,25.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,4,2,1.0,Socialistisk Folkeparti,Nej,ja
FU382913,Secondary education,<150.0000,Male,33.0,Papirløst partnerskab,Ingen børn,,Korte vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,2,4.0,"Venstre, Danmarks Liberale Parti",Ja,ja
FU646841,Secondary education,150.000-250.000,Male,33.0,Enlig,Ingen børn,,Korte vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Lang vid. udd,4,77,4.0,Liberal Alliance (tidl. Ny Alliance),Nej,ja
CZ809343,Short-cycle tertiary eduation,150.000-250.000,Male,47.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Grundskole og gym.,Mellemlange vid. udd,Mellemlange vid. udd,2,2,3.0,Dansk Folkeparti,Nej,nej
FU127339,Secondary education,150.000-250.000,Male,35.0,Papirløst partnerskab,2 børn,,Lang vid. udd,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,2,4.0,Socialdemokraterne,Nej,nej
FU532884,Medium-cycle tertiary eduation,250.000-350.000,Female,49.0,Enlig,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Erhvervsfaglige uddannelser,Korte vid. udd,3,77,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU687636,Secondary education,<150.0000,Male,70.0,Gift eller reg. partnerskab,2 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,2.0,"Venstre, Danmarks Liberale Parti",Nej,ja
FU880103,Secondary education,150.000-250.000,Male,61.0,Skilt,Ingen børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,2.0,Enhedslisten m.fl.,Ja,nej
CZ118733,Elementary school or unknown,<150.0000,Female,27.0,Gift eller reg. partnerskab,3 børn,Mindre byer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,,"Venstre, Danmarks Liberale Parti",Nej,nej
FU312716,Secondary education,250.000-350.000,Male,41.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,2,1,4.0,,Ja,ja
FU323056,Secondary education,150.000-250.000,Female,48.0,Gift eller reg. partnerskab,Ingen børn,,Grundskole og gym.,Grundskole og gym.,Mellemlange vid. udd,Grundskole og gym.,2,4,4.0,Dansk Folkeparti,Nej,ja
FU574377,Secondary education,250.000-350.000,Male,51.0,Gift eller reg. partnerskab,4 børn,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Korte vid. udd,3,4,3.0,Socialdemokraterne,Nej,ja
CZ894818,Short-cycle tertiary eduation,150.000-250.000,Male,77.0,Skilt,5 børn,Større provinsbyer,Mellemlange vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Korte vid. udd,2,77,1.0,Dansk Folkeparti,Nej,nej
CZ134194,Elementary school or unknown,<150.0000,Female,36.0,Gift eller reg. partnerskab,4 børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Ukendt,4,5.0,Enhedslisten m.fl.,Nej,ja
CZ804328,Elementary school or unknown,<150.0000,Female,69.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Korte vid. udd,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,2,4,3.0,"Venstre, Danmarks Liberale Parti",Ja,ja
CZ668854,Secondary education,250.000-350.000,Female,43.0,Papirløst partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,3.0,,Ja,ja
CZ208869,Medium-cycle tertiary eduation,150.000-250.000,Female,44.0,Enlig,3 børn,Mellemstore byer,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,4,77,1.0,Socialistisk Folkeparti,Nej,ja
FU545340,Elementary school or unknown,150.000-250.000,Male,50.0,Papirløst partnerskab,5 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,2,4,5.0,Dansk Folkeparti,Nej,ja
CZ739983,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,30.0,Gift eller reg. partnerskab,Ingen børn,Større provinsbyer,Lang vid. udd,Korte vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,3.0,Det Radikale Venstre,Nej,ja
FU171893,Elementary school or unknown,250.000-350.000,Female,67.0,Enke/enkemand,2 børn,,Grundskole og gym.,Irrelevant,Grundskole og gym.,Grundskole og gym.,2,77,,Socialdemokraterne,Nej,ja
FU784800,Secondary education,350.000<,Male,54.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,2,2,3.0,Dansk Folkeparti,Nej,ja
FU198704,Elementary school or unknown,<150.0000,Female,89.0,Enke/enkemand,2 børn,,Grundskole og gym.,Irrelevant,Uoplyst,Uoplyst,2,77,,Dansk Folkeparti,Nej,ja
CZ525450,Short-cycle tertiary eduation,350.000<,Male,43.0,Gift eller reg. partnerskab,2 børn,Landområder og landsbyer,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,2,2,5.0,Det Konservative Folkeparti,Ja,ja
FU495946,Elementary school or unknown,<150.0000,Female,19.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Mellemlange vid. udd,Mellemlange vid. udd,2,77,2.0,Socialdemokraterne,Nej,ja
CZ193589,Secondary education,150.000-250.000,Male,44.0,Skilt,3 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,77,3.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ505472,Secondary education,150.000-250.000,Female,79.0,Enke/enkemand,1 barn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Irrelevant,Uoplyst,Erhvervsfaglige uddannelser,2,77,1.0,"Venstre, Danmarks Liberale Parti",Nej,nej
FU822544,"Long-cycle tertiary eduation, Ph.D",<150.0000,Male,30.0,Gift eller reg. partnerskab,Ingen børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Lang vid. udd,Ukendt,77,3.0,Vil stemme blankt,Nej,nej
FU490098,Medium-cycle tertiary eduation,150.000-250.000,Male,66.0,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Uoplyst,4,4,2.0,Socialistisk Folkeparti,Ja,ja
FU327342,Elementary school or unknown,150.000-250.000,Female,58.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,2,2,1.0,Socialdemokraterne,Nej,ja
CZ301042,Secondary education,<150.0000,Female,29.0,Enlig,Ingen børn,De 3 store provinsbyer,Mellemlange vid. udd,Irrelevant,Korte vid. udd,Lang vid. udd,1,77,1.0,Det Radikale Venstre,Nej,nej
FU474954,Elementary school or unknown,<150.0000,Female,29.0,Enlig,Ingen børn,,Grundskole og gym.,Irrelevant,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,77,1.0,Dansk Folkeparti,Nej,ja
CZ161206,Secondary education,150.000-250.000,Male,64.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Korte vid. udd,Ukendt,3,4.0,"Venstre, Danmarks Liberale Parti",Nej,ja
CZ393441,Medium-cycle tertiary eduation,250.000-350.000,Female,58.0,Papirløst partnerskab,1 barn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Korte vid. udd,Mellemlange vid. udd,4,4,3.0,Socialistisk Folkeparti,Ja,ja
FU232818,"Long-cycle tertiary eduation, Ph.D",350.000<,Female,40.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Lang vid. udd,4,4,4.0,Socialdemokraterne,Nej,nej
FU377425,Elementary school or unknown,150.000-250.000,Female,86.0,Enke/enkemand,3 børn,,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,,Det Konservative Folkeparti,Ja,ja
FU715670,Secondary education,250.000-350.000,Male,67.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Uoplyst,Uoplyst,2,4,1.0,Socialdemokraterne,Nej,ja
FU173744,Secondary education,350.000<,Male,59.0,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,3,5.0,Det Konservative Folkeparti,Nej,ja
CZ127794,Medium-cycle tertiary eduation,250.000-350.000,Male,57.0,Gift eller reg. partnerskab,2 børn,Større provinsbyer,Mellemlange vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,4,4,4.0,Det Radikale Venstre,Ja,ja
FU420556,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,67.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Lang vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,4,4,5.0,Det Radikale Venstre,Nej,ja
FU789411,Secondary education,<150.0000,Male,23.0,Enlig,Ingen børn,,Lang vid. udd,Irrelevant,Erhvervsfaglige uddannelser,Grundskole og gym.,3,77,1.0,Det Konservative Folkeparti,Nej,nej
