v57,v58,v59,v60,v61,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v297_dk,v298_dk,v299_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken,ipnr17
Nej,Ja,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Nægter at svare,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Nægter at svare,Nægter at svare,Nægter at svare,Ret stor tillid,Nægter at svare,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,5.,7.,6.,5.,Ikke særlig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,6.,Sjældent,Sjældent,Flere gange om ugen,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,Temmelig vigtigt,Meget vigtigt,Nægter at svare,Meget vigtigt,Secondary education,<150.0000,Female,24,Enlig,Ingen børn,,Mellemlange vid. udd,Irrelevant,Mellemlange vid. udd,Lang vid. udd,2,77,1,,Nej,ja,FU868929
Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Hverken godt eller dårligt,3.,2.,3.,7.,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,10. Udvidelsen er gået for vidt,Hver dag,Flere gange om ugen,Sjældent,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I høj grad,I høj grad,I mindre grad,I høj grad,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Medium-cycle tertiary eduation,150.000-250.000,Male,74,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,4,3,2,Socialdemokraterne,Ja,ja,FU559523
Nej,Nej,Nej,Nej,Nej,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Temmelig dårligt,3.,2.,2.,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,1. Udvidelsen skal fortsætte,En eller to gange om ugen,En eller to gange om ugen,Sjældent,I nogen grad,Til en vis grad,I høj grad,Til en vis grad,Slet ikke,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,51,Papirløst partnerskab,6 børn eller flere,,Lang vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,4,Liberal Alliance (tidl. Ny Alliance),Ja,ja,FU496077
Ja,Ja,Ja,Ja,Ja,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Hverken godt eller dårligt,2.,2.,2.,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,8.,Sjældent,Sjældent,Hver dag,I nogen grad,I mindre grad,I mindre grad,I mindre grad,Til en vis grad,I høj grad,I nogen grad,Til en vis grad,I nogen grad,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Secondary education,250.000-350.000,Male,46,Gift eller reg. partnerskab,4 børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,3,Dansk Folkeparti,Ja,ja,CZ867433
Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Temmelig godt,6.,6.,6.,6.,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Meget vigtigt,9.,Hver dag,Flere gange om ugen,En eller to gange om ugen,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,I høj grad,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Short-cycle tertiary eduation,150.000-250.000,Male,61,Enlig,1 barn,,Uoplyst,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,2,77,2,Enhedslisten m.fl.,Nej,nej,FU501405
Ja,Ja,Nægter at svare,Ja,Ja,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Nægter at svare,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ikke særlig stor tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,5.,5.,5.,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Meget vigtigt,Meget vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,10. Udvidelsen er gået for vidt,Sjældent,Sjældent,Sjældent,Slet ikke,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I høj grad,I høj grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Elementary school or unknown,250.000-350.000,Male,57,Gift eller reg. partnerskab,4 børn,Mindre byer,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Mellemlange vid. udd,2,2,3,,Nej,ja,CZ782323
Nej,Nej,Nej,Nej,Nej,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Nægter at svare,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Hverken godt eller dårligt,10. Indvandrere tager ikke jobs fra danskere,3.,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Meget vigtigt,4.,Sjældent,Hver dag,Sjældent,I nogen grad,I nogen grad,I nogen grad,Til en vis grad,Til en vis grad,I høj grad,I nogen grad,I nogen grad,I høj grad,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Secondary education,350.000<,Male,68,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,3,4,5,"Venstre, Danmarks Liberale Parti",Nej,ja,CZ754464
Nej,Nej,Nej,Nej,Nej,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ikke særlig stor tillid,Ret stor tillid,Slet ingen tillid,Hverken godt eller dårligt,5.,9.,9.,9.,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,10. Udvidelsen er gået for vidt,Hver dag,Hver dag,Hver dag,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Elementary school or unknown,350.000<,Male,72,Gift eller reg. partnerskab,6 børn eller flere,,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,Grundskole og gym.,1,1,3,Dansk Folkeparti,Nej,ja,FU291153
Ja,Ja,Nej,Ja,Ja,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Hverken godt eller dårligt,9.,2.,2.,8.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,5.,En eller to gange om ugen,Hver dag,Aldrig,I mindre grad,I mindre grad,Til en vis grad,I mindre grad,I mindre grad,Til en vis grad,I mindre grad,I mindre grad,Til en vis grad,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Medium-cycle tertiary eduation,350.000<,Male,48,Gift eller reg. partnerskab,2 børn,De 3 store provinsbyer,Lang vid. udd,Lang vid. udd,Korte vid. udd,Erhvervsfaglige uddannelser,4,4,5,Liberal Alliance (tidl. Ny Alliance),Nej,nej,CZ770490
Ja,Ja,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,7.,8.,5.,6.,Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Temmelig vigtigt,Meget vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Meget vigtigt,5.,En eller to gange om ugen,Sjældent,Flere gange om ugen,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,Til en vis grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Medium-cycle tertiary eduation,250.000-350.000,Female,32,Gift eller reg. partnerskab,Ingen børn,Mindre byer,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,4,4,"Venstre, Danmarks Liberale Parti",Nej,ja,CZ623234
Ja,Ja,Nej,Nej,Ja,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig dårligt,6.,2.,2.,8.,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,7.,En eller to gange om ugen,En eller to gange om ugen,En eller to gange om ugen,I nogen grad,Til en vis grad,Til en vis grad,I mindre grad,I nogen grad,I nogen grad,I mindre grad,I mindre grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Short-cycle tertiary eduation,150.000-250.000,Male,39,Gift eller reg. partnerskab,2 børn,Mellemstore byer,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,3,"Venstre, Danmarks Liberale Parti",Ja,ja,CZ844825
Nej,Nej,Nej,Nej,Nej,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Temmelig godt,8.,3.,7.,5.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Meget vigtigt,5.,Sjældent,Hver dag,Hver dag,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,"Long-cycle tertiary eduation, Ph.D",250.000-350.000,Male,37,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Lang vid. udd,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,3,4,5,Det Radikale Venstre,Nej,ja,FU410835
Ja,Ja,Ja,Ja,Nej,Ved ikke,Ikke særlig stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Hverken godt eller dårligt,8.,9.,5.,3.,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,4.,Hver dag,Hver dag,En eller to gange om ugen,I nogen grad,I mindre grad,Til en vis grad,Til en vis grad,I høj grad,I høj grad,I nogen grad,I nogen grad,I nogen grad,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Elementary school or unknown,150.000-250.000,Male,93,Papirløst partnerskab,4 børn,Større provinsbyer,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,,Det Radikale Venstre,Nej,nej,CZ145162
Nej,Nej,Nej,Nej,Nej,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Hverken godt eller dårligt,8.,5.,5.,9.,Ikke særlig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,8.,Sjældent,Aldrig,Flere gange om ugen,Til en vis grad,I nogen grad,Til en vis grad,I mindre grad,I mindre grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Secondary education,250.000-350.000,Male,50,Skilt,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Grundskole og gym.,1,77,3,"Venstre, Danmarks Liberale Parti",Ja,ja,CZ625050
Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Hverken godt eller dårligt,6.,5.,5.,6.,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,4.,Aldrig,En eller to gange om ugen,En eller to gange om ugen,I nogen grad,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,Til en vis grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Secondary education,150.000-250.000,Male,46,Enlig,Ingen børn,,Korte vid. udd,Irrelevant,Grundskole og gym.,Grundskole og gym.,4,77,2,Det Konservative Folkeparti,Nej,ja,FU236717
Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Temmelig dårligt,7.,3.,3.,6.,Slet ikke vigtigt,Meget vigtigt,Slet ikke vigtigt,Temmelig vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Slet ikke vigtigt,Temmelig vigtigt,5.,Sjældent,Aldrig,En eller to gange om ugen,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,Til en vis grad,I nogen grad,I nogen grad,I nogen grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Secondary education,150.000-250.000,Female,40,Gift eller reg. partnerskab,2 børn,,Erhvervsfaglige uddannelser,Korte vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,3,4,5,Det Radikale Venstre,Nej,ja,FU638376
Nej,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Meget stor tillid,Ikke særlig stor tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Meget stor tillid,Meget stor tillid,Meget stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Hverken godt eller dårligt,4.,4.,4.,4.,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Slet ikke vigtigt,Temmelig vigtigt,2.,Flere gange om ugen,Hver dag,Flere gange om ugen,I nogen grad,I nogen grad,I nogen grad,Til en vis grad,I høj grad,I høj grad,I høj grad,I nogen grad,I høj grad,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Medium-cycle tertiary eduation,<150.0000,Male,79,Papirløst partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Ukendt,4,3,Det Konservative Folkeparti,Ja,ja,CZ360631
Nej,Ved ikke,Ved ikke,Ved ikke,Nej,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Hverken godt eller dårligt,7.,4.,2.,9.,Ikke særlig vigtigt,Meget vigtigt,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,5.,Hver dag,Flere gange om ugen,Aldrig,Til en vis grad,I mindre grad,I nogen grad,Til en vis grad,Til en vis grad,I høj grad,Til en vis grad,Til en vis grad,Til en vis grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Medium-cycle tertiary eduation,<150.0000,Female,77,Papirløst partnerskab,3 børn,,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Grundskole og gym.,Erhvervsfaglige uddannelser,4,3,3,Socialdemokraterne,Nej,ja,FU489468
Ja,Nej,Nej,Nej,Nej,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig godt,8.,6.,7.,8.,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Temmelig vigtigt,9.,Hver dag,Aldrig,Aldrig,I høj grad,I høj grad,I høj grad,Til en vis grad,Til en vis grad,I høj grad,I høj grad,I høj grad,I høj grad,Temmelig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Medium-cycle tertiary eduation,250.000-350.000,Male,59,Gift eller reg. partnerskab,3 børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,2,3,4,Socialdemokraterne,Nej,nej,FU575260
Ja,Ja,Nej,Nej,Nej,Ret stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Slet ingen tillid,Temmelig godt,10. Indvandrere tager ikke jobs fra danskere,2.,2.,5.,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,10. Udvidelsen er gået for vidt,Sjældent,Hver dag,Aldrig,I nogen grad,I nogen grad,I høj grad,I nogen grad,Til en vis grad,I høj grad,Til en vis grad,Til en vis grad,I nogen grad,Ikke særlig vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Secondary education,150.000-250.000,Male,71,Papirløst partnerskab,Ingen børn,Større provinsbyer,Uoplyst,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,3,Dansk Folkeparti,Ja,ja,CZ483760
Ja,Nej,Ja,Ja,Nej,Meget stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ret stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Meget stor tillid,Meget stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ret stor tillid,Slet ingen tillid,Meget dårligt,1. Indvandrere tager jobs fra danskere,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,7.,Sjældent,Sjældent,Aldrig,Til en vis grad,Til en vis grad,Til en vis grad,I mindre grad,I mindre grad,I høj grad,Til en vis grad,I mindre grad,I høj grad,Ikke særlig vigtigt,Temmelig vigtigt,Temmelig vigtigt,Meget vigtigt,Elementary school or unknown,<150.0000,Female,67,Gift eller reg. partnerskab,Ingen børn,Landområder og landsbyer,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,1,2,2,"Venstre, Danmarks Liberale Parti",Nej,ja,CZ648156
Ja,Nej,Nej,Nej,Ja,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Meget stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ret stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Ikke særlig stor tillid,Temmelig dårligt,3.,1. Indvandrere gør problemerne med kriminalitet værre,1. Indvandrere belaster velfærdssystemet,"10. Samfundet er bedst tjent med, at indvandrere ikke fastholder deres skikke og",Meget vigtigt,Meget vigtigt,Meget vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Meget vigtigt,Ikke særlig vigtigt,Ikke særlig vigtigt,7.,Hver dag,Hver dag,Aldrig,I høj grad,I nogen grad,Til en vis grad,Til en vis grad,Til en vis grad,I høj grad,I høj grad,Til en vis grad,I høj grad,Ikke særlig vigtigt,Meget vigtigt,Temmelig vigtigt,Meget vigtigt,Secondary education,<150.0000,Female,80,Enke/enkemand,Ingen børn,Større provinsbyer,Erhvervsfaglige uddannelser,Irrelevant,Grundskole og gym.,Erhvervsfaglige uddannelser,Ukendt,77,1,Socialdemokraterne,Nej,ja,CZ495511
